n=3 M=3 rho(C+)=(3-3)/2=0 code_size=8
n=4 M=4 rho(C+)=(6-4)/2=1 code_size=16
n=5 M=4 rho(C+)=(10-4)/2=3 code_size=32
n=6 M=5 rho(C+)=(15-5)/2=5 code_size=64
n=7 M=9 rho(C+)=(21-9)/2=6 code_size=128
n=8 M=10 rho(C+)=(28-10)/2=9 code_size=256
n=9 M=12 rho(C+)=(36-12)/2=12 code_size=512
n=10 M=13 rho(C+)=(45-13)/2=16 code_size=1024
n=11 M=17 rho(C+)=(55-17)/2=19 code_size=2048
n=12 M=18 rho(C+)=(66-18)/2=24 code_size=4096
n=13 M=20 rho(C+)=(78-20)/2=29 code_size=8192
n=14 M=21 rho(C+)=(91-21)/2=35 code_size=16384
wrote computations/results/augmented_cut_code_mapping.json
