analyzed 27 feasible bridge witnesses
3+3 sign=-1 cap=5 active=9/16 random-Eviol=3.4375 corr=-0.8666666666666667
3+4 sign=+1 cap=9 active=3/32 random-Eviol=1.63721 corr=-0.3220453201340309
3+4 sign=-1 cap=9 active=4/32 random-Eviol=1.63721 corr=-0.34815531191139565
3+5 sign=+1 cap=10 active=8/64 random-Eviol=4.19397 corr=-0.35567645096807965
3+5 sign=-1 cap=10 active=8/64 random-Eviol=4.19397 corr=-0.3750455488714459
3+6 sign=+1 cap=12 active=25/128 random-Eviol=5.88928 corr=-0.02849914147629435
3+6 sign=-1 cap=12 active=25/128 random-Eviol=5.88928 corr=-0.07916428187859541
3+7 sign=-1 cap=13 active=40/256 random-Eviol=16.4838 corr=-0.1214397444202791
3+8 sign=+1 cap=17 active=24/512 random-Eviol=10.9092 corr=-0.029118475414406146
3+8 sign=-1 cap=17 active=24/512 random-Eviol=10.9092 corr=-0.029118475414406146
3+9 sign=+1 cap=18 active=20/1024 random-Eviol=31.0001 corr=-0.19842769106585667
4+4 sign=+1 cap=10 active=8/64 random-Eviol=4.38794 corr=-0.403705173614631
4+4 sign=-1 cap=10 active=7/64 random-Eviol=4.38794 corr=-0.3372554983337556
4+5 sign=+1 cap=12 active=25/128 random-Eviol=6.83927 corr=-0.0900401668736368
4+5 sign=-1 cap=12 active=25/128 random-Eviol=6.83927 corr=-0.14839050453957453
4+6 sign=+1 cap=13 active=40/256 random-Eviol=16.3759 corr=-0.0886547382624696
4+6 sign=-1 cap=13 active=40/256 random-Eviol=16.3759 corr=-0.0886547382624696
4+7 sign=+1 cap=17 active=5/512 random-Eviol=12.8073 corr=-0.2278666483062248
4+7 sign=-1 cap=17 active=24/512 random-Eviol=12.8073 corr=-0.0895636734658836
5+5 sign=+1 cap=13 active=39/256 random-Eviol=17.021 corr=-0.11022729960835957
5+5 sign=-1 cap=13 active=36/256 random-Eviol=17.021 corr=-0.1809224643854417
5+6 sign=+1 cap=17 active=24/512 random-Eviol=12.2183 corr=-0.05607846302742094
5+6 sign=-1 cap=17 active=24/512 random-Eviol=12.2183 corr=-0.05607846302742094
5+7 sign=+1 cap=18 active=20/1024 random-Eviol=34.547 corr=-0.22855330741136168
5+7 sign=-1 cap=18 active=20/1024 random-Eviol=34.547 corr=-0.22855330741136168
6+6 sign=+1 cap=18 active=20/1024 random-Eviol=32.2306 corr=-0.1882736524850927
6+6 sign=-1 cap=18 active=20/1024 random-Eviol=32.2306 corr=-0.1882736524850927
wrote computations/results/bridge_margin_profiles_through_12.json
