3+3=6: d_2/3=-1.236149907891 energy_slack=-3.485281374239
3+4=7: d_2/3=-0.273177211919 energy_slack=-0.865662555435
3+5=8: d_2/3=+0.041662910771 energy_slack=+0.134337444565
3+6=9: d_2/3=+0.237381227153 energy_slack=+0.805900236914
3+7=10: d_2/3=-0.878057720295 energy_slack=-3.216796182270
3+8=11: d_2/3=-0.110183638207 energy_slack=-0.426735434501
3+9=12: d_2/3=-0.453281156150 energy_slack=-1.810983072702
4+4=8: d_2/3=-0.398095365967 energy_slack=-1.313708498985
4+5=9: d_2/3=+0.201798588838 energy_slack=+0.686291501015
4+6=10: d_2/3=+0.084914975676 energy_slack=+0.298342363915
4+7=11: d_2/3=-0.235101792254 energy_slack=-0.914783301819
4+8=12: d_2/3=-0.293145478083 energy_slack=-1.164597907680
5+5=10: d_2/3=+0.489090614099 energy_slack=+1.686291501015
5+6=11: d_2/3=+1.167629180455 energy_slack=+4.298342363915
5+7=12: d_2/3=+0.021694644608 energy_slack=+0.085216698181
6+6=12: d_2/3=+1.020249978894 energy_slack=+3.857864376269
wrote computations/results/composition_scalar_through_12.json
