checked=250/3250 pair_counts={(6, 51): 250}
checked=500/3250 pair_counts={(6, 51): 500}
checked=750/3250 pair_counts={(6, 51): 750}
checked=1000/3250 pair_counts={(6, 51): 1000}
checked=1250/3250 pair_counts={(6, 51): 1250}
checked=1500/3250 pair_counts={(6, 51): 1500}
checked=1750/3250 pair_counts={(6, 51): 1750}
checked=2000/3250 pair_counts={(6, 51): 2000}
checked=2250/3250 pair_counts={(6, 51): 2250}
checked=2500/3250 pair_counts={(6, 51): 2500}
checked=2750/3250 pair_counts={(6, 51): 2750}
checked=3000/3250 pair_counts={(6, 51): 3000}
checked=3250/3250 pair_counts={(6, 51): 3250}
wrote computations/results/conference_order26_delete4_cap_relation.json
