A6 beta 0.34657359027997264 m 3 {'levels': 4, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 0.009679899567668526, 'max_isotonic_residual': 2.5490203157523336e-06, 'K_squared': 2.07230371041523e-07, 'endpoint_cost': 0.004089668776896583, 'K2_over_endpoint': 5.0671675958750464e-05, 'parent_entropy': 0.0016675077480969138} {'s_derivative_error': 2.1147492611228724e-11, 'matched_exclusion_error': 4.440892098500626e-16, 'two_replica_error': 0.0}
A6 beta 0.34657359027997264 m 4 {'levels': 4, 'nonmonotone_nodes': 35, 'quadrature_nodes': 48, 'max_adjacent_drop': 0.0025801386118395695, 'max_isotonic_residual': 4.270058694312842e-09, 'K_squared': 1.076982927066075e-10, 'endpoint_cost': 0.010836369198293994, 'K2_over_endpoint': 9.938595735881979e-09, 'parent_entropy': 0.003960618467664987} {'s_derivative_error': 1.8221093037174008e-12, 'matched_exclusion_error': 3.885780586188048e-16, 'two_replica_error': 0.0}
A6 beta 0.34657359027997264 m 5 {'levels': 2, 'nonmonotone_nodes': 0, 'quadrature_nodes': 48, 'max_adjacent_drop': 0.0, 'max_isotonic_residual': 3.527497775746081e-35, 'K_squared': 2.421568980141946e-38, 'endpoint_cost': 0.017984064199774927, 'K2_over_endpoint': 1.346508193722002e-36, 'parent_entropy': 0.006443834384809263} {'s_derivative_error': 6.180738212901993e-12, 'matched_exclusion_error': 1.6653345369377348e-16, 'two_replica_error': 0.0}
A6 beta 2.0 m 3 {'levels': 4, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 0.029880493316690206, 'max_isotonic_residual': 1.1300762358330371e-17, 'K_squared': 2.3055571110723812e-20, 'endpoint_cost': 2.9976930454536595e-05, 'K2_over_endpoint': 7.691104713236131e-16, 'parent_entropy': 1.1988277123405547e-05} {'s_derivative_error': 3.739083556664191e-10, 'matched_exclusion_error': 8.881784197001252e-16, 'two_replica_error': 0.0}
A8 beta 0.5 m 3 {'levels': 22, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 0.03228691088487152, 'max_isotonic_residual': 4.59183051866911e-07, 'K_squared': 6.713622364388845e-08, 'endpoint_cost': 0.0017044553986087195, 'K2_over_endpoint': 3.9388665551876065e-05, 'parent_entropy': 0.0037166769491428957} {'s_derivative_error': 1.936855846063415e-11, 'matched_exclusion_error': 1.1102230246251565e-15, 'two_replica_error': 0.0}
A8 beta 2.0 m 4 {'levels': 22, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 106.12941489252468, 'max_isotonic_residual': 1.033343551028969, 'K_squared': 0.002631270533123235, 'endpoint_cost': 0.5969185583735861, 'K2_over_endpoint': 0.004408089673560516, 'parent_entropy': 1.0156811745418837} {'s_derivative_error': 2.2298507929008338e-08, 'matched_exclusion_error': 2.6645352591003757e-15, 'two_replica_error': 0.0}
A8 beta 2.0 m 6 {'levels': 21, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 9.019814195574416, 'max_isotonic_residual': 8.421149133244884e-09, 'K_squared': 3.324407671331596e-10, 'endpoint_cost': 0.0009605144189091506, 'K2_over_endpoint': 3.461070032771712e-07, 'parent_entropy': 0.0013907643112039427} {'s_derivative_error': 7.571158602585723e-09, 'matched_exclusion_error': 8.881784197001252e-16, 'two_replica_error': 0.0}
A8 beta 2.0 m 7 {'levels': 11, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 0.00012881484215257228, 'max_isotonic_residual': 5.628999134145199e-12, 'K_squared': 5.305792119592451e-13, 'endpoint_cost': 8.347259939625576e-05, 'K2_over_endpoint': 6.3563278943850015e-09, 'parent_entropy': 8.701378472650314e-05} {'s_derivative_error': 1.4486111536186831e-09, 'matched_exclusion_error': 8.881784197001252e-16, 'two_replica_error': 0.0}
A9 beta 0.5 m 3 {'levels': 272, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 0.17912171121459414, 'max_isotonic_residual': 4.964609439140479e-05, 'K_squared': 7.574557970635649e-06, 'endpoint_cost': 0.004675683471267447, 'K2_over_endpoint': 0.0016199894661779572, 'parent_entropy': 0.02175356462448239} {'s_derivative_error': 3.837339994372524e-11, 'matched_exclusion_error': 1.1102230246251565e-15, 'two_replica_error': 0.0}
A9 beta 2.0 m 3 {'levels': 272, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 16.080080782330423, 'max_isotonic_residual': 6.155636180841089e-05, 'K_squared': 3.7467737643398076e-06, 'endpoint_cost': 0.0024378871659119293, 'K2_over_endpoint': 0.0015368938385375475, 'parent_entropy': 0.015460267906952242} {'s_derivative_error': 2.0959944890819315e-09, 'matched_exclusion_error': 1.7763568394002505e-15, 'two_replica_error': 0.0}
A9 beta 2.0 m 7 {'levels': 217, 'nonmonotone_nodes': 48, 'quadrature_nodes': 48, 'max_adjacent_drop': 19.489575218704655, 'max_isotonic_residual': 0.009041618144484027, 'K_squared': 0.0009978621442092467, 'endpoint_cost': 0.05086819103486521, 'K2_over_endpoint': 0.019616623353586705, 'parent_entropy': 0.0883977865892948} {'s_derivative_error': 1.4744934162536083e-09, 'matched_exclusion_error': 8.881784197001252e-16, 'two_replica_error': 0.0}
