| case | n | Q | B | B/2 | exact face | projector | nuclear | best (|I|,|J|,P,R) |
|---|---:|---:|---:|---:|---:|---:|---:|---|
| min-n3-orbit0 | 3 | 6 | 6 | 3.000 | 6.000 | 6.000 | 6.000 | (3, 0, 6, 0) |
| min-n4-orbit0 | 4 | 8 | 8 | 4.000 | 8.000 | 8.000 | 8.000 | (4, 0, 8, 0) |
| min-n5-orbit0 | 5 | 8 | 8 | 4.000 | 8.000 | 8.000 | 8.000 | (5, 0, 8, 0) |
| min-n6-orbit0 | 6 | 10 | 12 | 6.000 | 8.000 | 6.558 | 6.183 | (3, 3, 6, -6) |
| min-n7-orbit0 | 7 | 18 | 18 | 9.000 | 18.000 | 18.000 | 18.000 | (2, 5, 2, -16) |
| min-n7-orbit1 | 7 | 18 | 18 | 9.000 | 18.000 | 18.000 | 18.000 | (7, 0, 18, 0) |
| min-n7-orbit2 | 7 | 18 | 18 | 9.000 | 18.000 | 18.000 | 18.000 | (1, 6, 0, -18) |
| min-n8-orbit0 | 8 | 20 | 24 | 12.000 | 16.000 | 12.836 | 12.456 | (4, 4, 12, -12) |
| min-n8-orbit1 | 8 | 20 | 24 | 12.000 | 16.000 | 12.836 | 12.456 | (4, 4, 12, -12) |
| exact-n10 | 10 | 26 | 40 | 20.000 | 24.000 | 21.115 | 20.730 | (5, 5, 20, -20) |
| conference-n6 | 6 | 10 | 12 | 6.000 | 8.000 | 6.558 | 6.183 | (3, 3, 6, -6) |
| conference-n10 | 10 | 30 | 30 | 15.000 | 30.000 | 30.000 | 30.000 | (10, 0, 30, 0) |
| conference-n14 | 14 | 42 | 46 | 23.000 | 42.000 | 31.093 | 29.639 | (8, 6, 28, -18) |
| conference-n18 | 18 | 66 | 72 | 36.000 | 64.000 | 41.879 | 40.062 | (9, 9, 36, -36) |
