A5 beta=0.25 {'n': 5, 'Q': 8, 'kappa_range': (1.3158482232986495, 1.31584822329865), 'child_field_second_moment_range': (2.592217094655542, 2.592217094655542), 'jensen_lower_bound_range': (1.1763713652157703, 1.1763713652157703), 'star_logP_curvature_range': (-0.3006352309281222, -0.3006352309281222), 'decrement_range': (0, 0), 'log_parent_over_two_child_D_range': (0.3289620558246625, 0.3289620558246625)}
A6 beta=0.25 {'n': 6, 'Q': 10, 'kappa_range': (1.2962687041131185, 1.2962687041131185), 'child_field_second_moment_range': (2.4671510526411407, 2.4671510526411407), 'jensen_lower_bound_range': (1.124365162104009, 1.124365162104009), 'star_logP_curvature_range': (-0.5408956347633488, -0.5408956347633488), 'decrement_range': (2, 2), 'log_parent_over_two_child_D_range': (-0.17593282397172033, -0.17593282397172033)}
A8 beta=0.25 {'n': 8, 'Q': 20, 'kappa_range': (1.9489722537127592, 1.9489722537127598), 'child_field_second_moment_range': (3.8652303336825633, 3.8652303336825637), 'jensen_lower_bound_range': (1.6836082904037628, 1.6836082904037628), 'star_logP_curvature_range': (-0.6694371688717318, -0.6694371688717317), 'decrement_range': (2, 2), 'log_parent_over_two_child_D_range': (-0.012756936571810117, -0.012756936571809893)}
A9 beta=0.25 {'n': 9, 'Q': 24, 'kappa_range': (1.877177694848393, 2.6316964465973003), 'child_field_second_moment_range': (3.6409351127421408, 5.184434189311084), 'jensen_lower_bound_range': (1.5969924046628021, 2.1719592427697343), 'star_logP_curvature_range': (-0.9308881888225398, -0.6012704618562444), 'decrement_range': (0, 0), 'log_parent_over_two_child_D_range': (0.4692944237120985, 0.6579241116493251)}
A5 beta=0.5 {'n': 5, 'Q': 8, 'kappa_range': (1.3327073829144291, 1.3327073829144291), 'child_field_second_moment_range': (1.0632089153363187, 1.063208915336319), 'jensen_lower_bound_range': (0.9153639757934035, 0.9153639757934035), 'star_logP_curvature_range': (-1.70341418242411, -1.7034141824241098), 'decrement_range': (0, 0), 'log_parent_over_two_child_D_range': (0.6663536914572145, 0.6663536914572145)}
A6 beta=0.5 {'n': 6, 'Q': 10, 'kappa_range': (1.3419910011903922, 1.3419910011903922), 'child_field_second_moment_range': (1.2293230115143872, 1.2293230115143872), 'jensen_lower_bound_range': (1.0379058108040176, 1.0379058108040176), 'star_logP_curvature_range': (-2.1870894028072088, -2.1870894028072088), 'decrement_range': (2, 2), 'log_parent_over_two_child_D_range': (-0.32900449940480414, -0.32900449940480414)}
A8 beta=0.5 {'n': 8, 'Q': 20, 'kappa_range': (2.257889866207421, 2.2578898662074214), 'child_field_second_moment_range': (2.1961049669820505, 2.196104966982051), 'jensen_lower_bound_range': (1.678220903871798, 1.6782209038717983), 'star_logP_curvature_range': (-2.786382379343346, -2.7863823793433458), 'decrement_range': (2, 2), 'log_parent_over_two_child_D_range': (0.12894493310371036, 0.12894493310371036)}
A9 beta=0.5 {'n': 9, 'Q': 24, 'kappa_range': (1.6845171936420464, 2.665414765828859), 'child_field_second_moment_range': (1.2261680103780914, 2.126417830672638), 'jensen_lower_bound_range': (1.0356183190943529, 1.6355772228863545), 'star_logP_curvature_range': (-3.9289963595764186, -3.4068283648482196), 'decrement_range': (0, 0), 'log_parent_over_two_child_D_range': (0.8422585968210232, 1.3327073829144294)}
A5 beta=1.0 {'n': 5, 'Q': 8, 'kappa_range': (0.8800580563054201, 0.8800580563054201), 'child_field_second_moment_range': (0.1464759738947461, 0.1464759738947461), 'jensen_lower_bound_range': (0.26814575957143527, 0.26814575957143527), 'star_logP_curvature_range': (-3.581269375069431, -3.581269375069431), 'decrement_range': (0, 0), 'log_parent_over_two_child_D_range': (0.8800580563054199, 0.8800580563054199)}
A6 beta=1.0 {'n': 6, 'Q': 10, 'kappa_range': (1.5188413879924783, 1.5188413879924785), 'child_field_second_moment_range': (1.004292193309593, 1.0042921933095932), 'jensen_lower_bound_range': (1.3291367571575547, 1.3291367571575547), 'star_logP_curvature_range': (-3.7134077542755013, -3.7134077542755013), 'decrement_range': (2, 2), 'log_parent_over_two_child_D_range': (-0.48115861200752147, -0.4811586120075213)}
A8 beta=1.0 {'n': 8, 'Q': 20, 'kappa_range': (2.261149326284532, 2.2611493262845324), 'child_field_second_moment_range': (1.1893762963890415, 1.189376296389042), 'jensen_lower_bound_range': (1.500691347064232, 1.5006913470642327), 'star_logP_curvature_range': (-5.400098346039495, -5.400098346039494), 'decrement_range': (2, 2), 'log_parent_over_two_child_D_range': (0.2611493262845321, 0.26114932628453225)}
A9 beta=1.0 {'n': 9, 'Q': 24, 'kappa_range': (1.094478807184225, 1.7601161126108404), 'child_field_second_moment_range': (0.14920789536809953, 0.2929519477894923), 'jensen_lower_bound_range': (0.272738137306297, 0.4979834905935205), 'star_logP_curvature_range': (-7.2961271666889465, -7.162538750138861), 'decrement_range': (0, 0), 'log_parent_over_two_child_D_range': (1.094478807184225, 1.7601161126108404)}
PASS: deletion polynomial, star interpolation, susceptibility, and Jensen bound
