A5 beta=0.25 {'r': 5, 'q': 8, 'moment_threshold': 1.44, 'v_range': (2.592217094655542, 2.592217094655542), 'P_deleted_weighted_v': 2.5922170946555423, 'N2_over_N0': -0.15031761546406128, 'deck_sufficient_rhs': -0.2733469018036129, 'deck_sufficient': True, 'competitor_floor_bound_range': (-13.342430022824711, -13.342430022824711), 'competitor_floor_ratio_range': (0.07412118818650493, 0.07412118818650493), 'full_competitor_Q_floor_bound_range': (-12.178989973245592, -12.178989973245592), '4v_over_derivative_envelope_range': (0.4577228783652697, 0.4577228783652697), 'extension_product_mean_range': (12.284288954596503, 12.284288954596503), 'child_profile_kappa_upper_gap_range': (1.82322856904684, 1.8232285690468404)}
A6 beta=0.25 {'r': 6, 'q': 10, 'moment_threshold': 1.5625, 'v_range': (2.4671510526411407, 2.4671510526411407), 'P_deleted_weighted_v': 2.46715105264114, 'N2_over_N0': -0.2704478173816744, 'deck_sufficient_rhs': -0.3670429589648122, 'deck_sufficient': True, 'competitor_floor_bound_range': (-13.008643204904654, -13.008643204904654), 'competitor_floor_ratio_range': (0.03855335434621611, 0.03855335434621611), 'full_competitor_Q_floor_bound_range': (-12.240224184739795, -12.240224184739795), '4v_over_derivative_envelope_range': (0.4451675476829295, 0.4451675476829295), 'extension_product_mean_range': (12.299687844707787, 12.299687844707787), 'child_profile_kappa_upper_gap_range': (2.3637300288598535, 2.3637300288598535)}
A8 beta=0.25 {'r': 8, 'q': 20, 'moment_threshold': 3.5156249999999996, 'v_range': (3.8652303336825633, 3.8652303336825637), 'P_deleted_weighted_v': 3.865230333682564, 'N2_over_N0': -0.33471858443586605, 'deck_sufficient_rhs': -0.37204809022342333, 'deck_sufficient': True, 'competitor_floor_bound_range': (-20.15960567625549, -20.15960567625549), 'competitor_floor_ratio_range': (0.03333410601402914, 0.03333410601402914), 'full_competitor_Q_floor_bound_range': (-17.566883508751484, -17.566883508751484), '4v_over_derivative_envelope_range': (0.2249692852488485, 0.22496928524884854), 'extension_product_mean_range': (53.26366619119908, 53.26366619119909), 'child_profile_kappa_upper_gap_range': (7.27385810113782, 7.2738581011378205)}
A9 beta=0.25 {'r': 9, 'q': 24, 'moment_threshold': 4.0, 'v_range': (3.6409351127421408, 5.184434189311084), 'P_deleted_weighted_v': 4.333537547739557, 'N2_over_N0': -0.3914906843377616, 'deck_sufficient_rhs': -0.42710453406814514, 'deck_sufficient': True, 'competitor_floor_bound_range': (-28.815952620172403, -28.681929641242398), 'competitor_floor_ratio_range': (0.01723373186789742, 0.020811345741042552), 'full_competitor_Q_floor_bound_range': (-25.49654811462905, -24.95309978454199), '4v_over_derivative_envelope_range': (0.2567207690650078, 0.2849797690418114), 'extension_product_mean_range': (41.00624453322918, 52.03141744261666), 'child_profile_kappa_upper_gap_range': (7.957124559079555, 7.990626174274889)}
A5 beta=0.5 {'r': 5, 'q': 8, 'moment_threshold': 1.44, 'v_range': (1.0632089153363187, 1.063208915336319), 'P_deleted_weighted_v': 1.0632089153363187, 'N2_over_N0': -0.851707091212055, 'deck_sufficient_rhs': -0.7424328427340465, 'deck_sufficient': False, 'competitor_floor_bound_range': (-2.664500086069504, -2.664500086069504), 'competitor_floor_ratio_range': (0.03360473744103904, 0.03360473744103904), 'full_competitor_Q_floor_bound_range': (-1.9244610727720532, -1.9244610727720532), '4v_over_derivative_envelope_range': (0.7468003002147982, 0.7468003002147983), 'extension_product_mean_range': (1.4419071770307328, 1.4419071770307328), 'child_profile_kappa_upper_gap_range': (1.1397105023451464, 1.1397105023451464)}
A6 beta=0.5 {'r': 6, 'q': 10, 'moment_threshold': 1.5625, 'v_range': (1.2293230115143872, 1.2293230115143872), 'P_deleted_weighted_v': 1.2293230115143872, 'N2_over_N0': -1.0935447014036048, 'deck_sufficient_rhs': -0.9969191003508926, 'deck_sufficient': False, 'competitor_floor_bound_range': (-1.791444666335349, -1.791444666335349), 'competitor_floor_ratio_range': (0.015196959004232135, 0.015196959004232135), 'full_competitor_Q_floor_bound_range': (-1.3729751650459754, -1.3729751650459754), '4v_over_derivative_envelope_range': (0.7971084713017579, 0.7971084713017579), 'extension_product_mean_range': (1.2516199942662984, 1.2516199942662984), 'child_profile_kappa_upper_gap_range': (1.6367559137468508, 1.6367559137468508)}
A8 beta=0.5 {'r': 8, 'q': 20, 'moment_threshold': 3.5156249999999996, 'v_range': (2.1961049669820505, 2.196104966982051), 'P_deleted_weighted_v': 2.1961049669820505, 'N2_over_N0': -1.3931911896716738, 'deck_sufficient_rhs': -1.010513451719314, 'deck_sufficient': False, 'competitor_floor_bound_range': (-3.2077221528786826, -3.2077221528786826), 'competitor_floor_ratio_range': (0.01320987294257526, 0.013209872942575265), 'full_competitor_Q_floor_bound_range': (-0.6966518363049241, -0.6966518363049223), '4v_over_derivative_envelope_range': (0.4052390601024453, 0.40523906010244537), 'extension_product_mean_range': (12.892710331977703, 12.892710331977707), 'child_profile_kappa_upper_gap_range': (4.872328549000525, 4.8723285490005255)}
A9 beta=0.5 {'r': 9, 'q': 24, 'moment_threshold': 4.0, 'v_range': (1.2261680103780914, 2.126417830672638), 'P_deleted_weighted_v': 1.5574078445504675, 'N2_over_N0': -1.8684343783384636, 'deck_sufficient_rhs': -1.1600513167719477, 'deck_sufficient': False, 'competitor_floor_bound_range': (-5.754380774438708, -5.730253688101147), 'competitor_floor_ratio_range': (0.0027632794518509963, 0.004512570594085834), 'full_competitor_Q_floor_bound_range': (-3.339997401358218, -2.59942088059473), '4v_over_derivative_envelope_range': (0.6113329064489901, 0.6624086762624133), 'extension_product_mean_range': (2.7210901480591394, 5.4022890764616776), 'child_profile_kappa_upper_gap_range': (4.580399353000701, 4.596105379158372)}
A5 beta=1.0 {'r': 5, 'q': 8, 'moment_threshold': 1.44, 'v_range': (0.1464759738947461, 0.1464759738947461), 'P_deleted_weighted_v': 0.1464759738947461, 'N2_over_N0': -1.7906346875347154, 'deck_sufficient_rhs': -1.1895669441879495, 'deck_sufficient': False, 'competitor_floor_bound_range': (-0.29890952124874026, -0.29890952124874026), 'competitor_floor_ratio_range': (0.0012029955991512246, 0.0012029955991512246), 'full_competitor_Q_floor_bound_range': (-0.1601493373526246, -0.1601493373526246), '4v_over_derivative_envelope_range': (0.9634274798851807, 0.9634274798851807), 'extension_product_mean_range': (0.022241406285159325, 0.022241406285159325), 'child_profile_kappa_upper_gap_range': (0.5874586477488175, 0.5874586477488175)}
A6 beta=1.0 {'r': 6, 'q': 10, 'moment_threshold': 1.5625, 'v_range': (1.004292193309593, 1.0042921933095932), 'P_deleted_weighted_v': 1.004292193309593, 'N2_over_N0': -1.8567038771377506, 'deck_sufficient_rhs': -1.5973188947836237, 'deck_sufficient': False, 'competitor_floor_bound_range': (0.6980215918462829, 0.6980215918462829), 'competitor_floor_ratio_range': (0.0004899787207115169, 0.0004899787207115169), 'full_competitor_Q_floor_bound_range': (0.768667678465107, 0.768667678465107), '4v_over_derivative_envelope_range': (0.9946772115566269, 0.9946772115566271), 'extension_product_mean_range': (0.021496963309142067, 0.021496963309142074), 'child_profile_kappa_upper_gap_range': (0.95646697475869, 0.9564669747586902)}
A8 beta=1.0 {'r': 8, 'q': 20, 'moment_threshold': 3.5156249999999996, 'v_range': (1.1893762963890415, 1.189376296389042), 'P_deleted_weighted_v': 1.1893762963890417, 'N2_over_N0': -2.700049173019747, 'deck_sufficient_rhs': -1.6191005160761278, 'deck_sufficient': False, 'competitor_floor_bound_range': (0.544562327232966, 0.544562327232966), 'competitor_floor_ratio_range': (0.00010738726702485505, 0.00010738726702485507), 'full_competitor_Q_floor_bound_range': (1.1265611597709357, 1.1265611597709366), '4v_over_derivative_envelope_range': (0.7509051086566851, 0.7509051086566856), 'extension_product_mean_range': (1.57818907289281, 1.578189072892811), 'child_profile_kappa_upper_gap_range': (2.727260986345984, 2.7272609863459842)}
